# GENERATED by comparison.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T07:24:45Z
# input.comparison = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.sources = config/literature_sources.ini sha256 ef5baa57814cac228983f7ce99130ae55d547c1eaaa3339ac14d1242722ada2f
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.standard = outputs/standard/_calculated_amino_acid_standard.tsv sha256 e1c446079bb72a122aff03d48cb3e26ad9f21d85fd855648a53dafaf862e220b
# input.standard_npmp = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 240093c70d34467faf97d111ad0a8c592ef56d0a314694febfc2644cb849a3db
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.pools = config/non_protein_metabolite_pools.ini sha256 834e0a4227e06cfc557dc8a8637ae1c28b081d6d8728fedee0baf098a19a3e86
# source = P10 Gorissen SHM, Crombag JJR, Senden JMG, Waterval WAH, Bierau J, Verdijk LB, van Loon LJC. Protein content and amino acid composition of commercially available plant-based protein isolates. Amino Acids 2018;50(12):1685-1695. DOI 10.1007/s00726-018-2640-5
# source file = data/literature/gorissen_2018/726_2018_Article_2640.pdf sha256 6f75965fc27f705fbd80a68ad529ea2c28c919fca412810393c9fd7415a7215f
# Gorissen et al. 2018, Table 1, column "Human muscle" (p. 1690), transcribed by hand and resolved to one-letter symbols through the IUPAC-IUBMB trivial names; no amino acid is named in code.
# g_per_100g_raw_material is the paper's unit: grams per 100 g of freeze-dried tissue, NOT per 100 g of protein. The same tissue is stated as 84 % protein (p. 1688).
# percent_of_measured renormalises over the rows compared (the paper's reported rows less the declared not-measured zeros, D85), which is the only denominator the two measurements share (X1).
# transcription cross-check (X4): essential sum 31.8 = printed 31.8; non-essential sum 29.0 = printed 29.0.
row	paper_row_label	amino_acids	g_per_100g_raw_material	percent_of_measured	caveat
E+Q	Glutamic acid	E, Q	13.1	21.5461	
K	Lysine	K	6.6	10.8553	
L	Leucine	L	6.3	10.3618	
R	Arginine	R	4.4	7.2368	
V	Valine	V	4.3	7.0724	
A	Alanine	A	4.1	6.7434	
F	Phenylalanine	F	3.8	6.2500	
I	Isoleucine	I	3.4	5.5921	
G	Glycine	G	3.1	5.0987	
T	Threonine	T	2.9	4.7697	
H	Histidine	H	2.8	4.6053	
S	Serine	S	2.3	3.7829	
Y	Tyrosine	Y	2.0	3.2895	
M	Methionine	M	1.7	2.7961	
sum			60.8	100.0000	
